Kecamatan,year,CH_DJF,R10_DJF,R20_DJF,SPI3_DJF,CH_JJA,R10_JJA,R20_JJA,SPI3_JJA
Pabuaran,2012.0,914.16,37.51,7.45,-0.07,193.02,7.39,3.04,-0.39
Pabuaran,2013.0,1221.03,48.19,21.34,1.03,713.47,26.06,13.23,1.44
Pabuaran,2014.0,1504.06,50.04,30.26,1.23,680.18,17.8,11.63,0.77
Pabuaran,2015.0,1145.95,50.65,24.14,0.52,154.77,6.23,1.88,-1.2
Pabuaran,2016.0,1003.57,45.43,13.12,-0.72,1099.7,36.5,23.62,2.15
Pabuaran,2017.0,733.54,31.69,6.67,0.68,471.46,15.35,9.73,0.79
Pabuaran,2018.0,821.58,34.56,9.45,0.26,174.73,7.86,2.46,-0.72
Pabuaran,2019.0,803.72,36.45,7.95,-0.65,98.96,3.03,1.67,-1.56
Pabuaran,2020.0,1162.57,47.65,24.56,-0.28,432.1,13.63,6.4,0.8
Pabuaran,2021.0,1068.1,39.72,18.26,0.42,512.73,17.87,9.32,0.48
Pabuaran,2022.0,823.21,36.9,6.63,0.49,714.11,28.5,13.0,0.94
Pabuaran,2023.0,931.73,37.14,11.21,0.23,283.86,7.46,4.25,-0.34
Pabuaran,2024.0,759.88,35.69,5.57,-1.07,467.89,16.74,9.68,0.33
Pabuaran,2025.0,1037.73,42.07,15.08,1.06,788.57,30.5,16.88,1.12
Pabuaran,2026.0,441.39,18.18,9.79,0.55,,,,
Palabuhanratu,1996.0,666.92,33.85,7.77,,391.68,15.18,7.82,-0.62
Palabuhanratu,1997.0,1293.49,43.62,27.03,0.21,146.92,4.97,2.55,-1.28
Palabuhanratu,1998.0,779.75,31.5,9.91,-1.9,681.64,30.25,12.21,0.95
Palabuhanratu,1999.0,1120.21,44.19,18.1,0.1,182.19,4.05,3.48,-1.05
Palabuhanratu,2000.0,1209.21,49.0,20.17,-0.07,341.27,15.01,5.23,0.11
Palabuhanratu,2001.0,1099.25,46.36,18.14,0.32,372.9,13.27,7.15,0.24
Palabuhanratu,2002.0,810.32,31.85,13.74,-0.33,374.96,13.31,5.35,-0.22
Palabuhanratu,2003.0,857.38,42.07,9.2,-1.41,191.19,7.09,3.42,-1.83
Palabuhanratu,2004.0,938.84,44.23,10.76,-0.53,321.64,12.53,4.33,-0.32
Palabuhanratu,2005.0,1292.23,53.54,26.24,0.16,649.12,23.2,12.13,0.54
Palabuhanratu,2006.0,1133.55,55.61,14.45,-0.34,198.1,8.86,3.5,-0.87
Palabuhanratu,2007.0,1057.79,43.2,19.75,-0.93,319.01,13.8,4.15,-0.04
Palabuhanratu,2008.0,1715.79,55.8,34.14,1.91,194.51,6.95,3.84,-1.19
Palabuhanratu,2009.0,1132.08,45.98,22.43,0.28,276.09,11.33,5.24,-0.03
Palabuhanratu,2010.0,1099.6,51.67,13.04,-0.11,926.32,39.32,17.79,1.43
Palabuhanratu,2011.0,838.88,38.75,6.74,-0.95,229.44,8.28,5.57,-0.47
Palabuhanratu,2012.0,962.26,42.67,9.1,-0.23,201.43,8.59,1.83,-0.36
Palabuhanratu,2013.0,1313.84,52.7,22.53,1.06,768.97,25.0,16.17,1.29
Palabuhanratu,2014.0,1660.87,56.57,34.59,1.48,667.3,20.33,12.72,0.74
Palabuhanratu,2015.0,1165.37,50.73,23.43,0.18,168.21,5.58,2.72,-1.37
Palabuhanratu,2016.0,1042.63,46.65,13.91,-0.83,1031.2,36.44,22.03,1.98
Palabuhanratu,2017.0,837.54,34.69,8.68,0.77,545.87,18.57,10.98,0.97
Palabuhanratu,2018.0,906.88,41.33,10.62,0.16,178.85,6.31,2.59,-0.77
Palabuhanratu,2019.0,939.12,39.52,10.19,-0.27,111.14,5.15,1.48,-1.43
Palabuhanratu,2020.0,1180.61,46.63,25.83,-0.47,445.24,17.52,7.89,0.56
Palabuhanratu,2021.0,1142.37,44.63,20.1,0.32,573.35,20.94,9.21,0.57
Palabuhanratu,2022.0,865.19,32.75,8.5,0.28,752.05,29.45,13.57,0.94
Palabuhanratu,2023.0,979.02,43.53,10.52,0.16,369.65,14.52,5.71,-0.12
Palabuhanratu,2024.0,853.29,39.56,8.81,-0.6,467.45,18.16,7.73,0.29
Palabuhanratu,2025.0,1191.9,45.32,16.97,1.3,940.43,35.08,21.97,1.31
Palabuhanratu,2026.0,589.8,20.18,12.43,0.77,,,,
Parakansalak,1996.0,637.45,30.44,7.35,,422.31,17.05,8.61,-0.57
Parakansalak,1997.0,1243.22,41.01,24.84,0.26,141.39,4.19,2.44,-1.24
Parakansalak,1998.0,769.95,30.49,9.19,-1.21,627.09,25.33,10.37,1.08
Parakansalak,1999.0,966.04,40.69,14.32,-0.25,171.28,5.17,3.89,-1.35
Parakansalak,2000.0,1113.58,43.95,18.07,-0.1,347.38,12.56,5.74,0.28
Parakansalak,2001.0,1084.81,46.19,18.82,0.63,365.15,14.55,6.97,0.26
Parakansalak,2002.0,831.25,36.44,13.38,-0.02,345.82,15.74,6.95,-0.27
Parakansalak,2003.0,812.8,36.47,8.22,-1.69,173.73,6.52,4.1,-1.99
Parakansalak,2004.0,933.82,38.03,10.08,-0.28,297.33,13.37,3.5,-0.19
Parakansalak,2005.0,1199.15,53.72,21.96,0.07,610.01,20.38,11.8,0.49
Parakansalak,2006.0,1094.83,52.37,12.54,-0.31,190.72,9.14,2.96,-0.89
Parakansalak,2007.0,1014.67,43.99,17.89,-0.83,333.81,11.14,3.79,0.05
Parakansalak,2008.0,1654.55,56.5,31.29,2.28,227.03,8.94,5.57,-0.81
Parakansalak,2009.0,1120.87,49.48,17.46,0.43,282.78,10.35,5.08,0.13
Parakansalak,2010.0,1089.44,50.48,12.49,0.06,888.34,33.43,16.92,1.28
Parakansalak,2011.0,785.52,35.71,5.19,-1.01,252.03,9.83,4.51,-0.28
Parakansalak,2012.0,913.96,37.17,7.81,-0.18,204.1,7.96,1.52,-0.31
Parakansalak,2013.0,1189.67,50.6,20.96,0.95,689.7,24.38,12.47,1.19
Parakansalak,2014.0,1586.18,59.5,34.33,1.57,617.15,22.28,12.84,0.74
Parakansalak,2015.0,1189.73,48.92,23.33,0.14,170.65,4.68,2.98,-1.41
Parakansalak,2016.0,988.37,45.02,14.83,-1.0,925.5,32.39,18.22,1.83
Parakansalak,2017.0,798.14,35.63,8.21,0.71,505.36,19.95,10.6,0.92
Parakansalak,2018.0,883.24,39.91,11.53,0.11,172.52,6.77,2.23,-0.8
Parakansalak,2019.0,882.37,39.81,6.34,-0.34,102.8,4.31,1.12,-1.4
Parakansalak,2020.0,1148.99,45.32,19.5,-0.37,414.94,14.51,6.71,0.32
Parakansalak,2021.0,1026.55,41.61,16.21,-0.2,551.31,19.06,9.48,0.54
Parakansalak,2022.0,803.73,34.08,6.43,0.12,724.08,29.2,10.9,0.97
Parakansalak,2023.0,929.04,37.38,11.7,0.21,363.16,14.24,5.8,-0.08
Parakansalak,2024.0,830.69,36.84,7.48,-0.73,420.15,15.28,7.38,0.09
Parakansalak,2025.0,1004.23,41.65,15.44,0.75,915.42,37.36,18.39,1.41
Parakansalak,2026.0,470.75,21.05,10.63,0.57,,,,
Parungkuda,1996.0,585.03,26.68,5.56,,342.0,13.57,6.92,-0.63
Parungkuda,1997.0,1115.47,39.05,22.54,0.18,129.38,4.11,2.19,-1.17
Parungkuda,1998.0,710.59,25.16,7.4,-1.05,560.19,22.24,7.83,1.12
Parungkuda,1999.0,882.71,38.27,10.54,-0.21,151.44,4.79,3.24,-1.35
Parungkuda,2000.0,991.51,39.7,15.45,-0.23,299.34,11.01,5.07,0.27
Parungkuda,2001.0,995.41,43.54,14.46,0.64,324.81,13.33,6.14,0.29
Parungkuda,2002.0,766.32,31.99,11.79,-0.03,295.79,13.55,5.03,-0.32
Parungkuda,2003.0,739.76,33.72,6.32,-1.71,149.45,5.81,3.26,-1.99
Parungkuda,2004.0,844.23,34.4,8.33,-0.31,259.92,12.28,2.52,-0.19
Parungkuda,2005.0,1087.98,48.26,16.99,0.03,539.47,18.73,10.78,0.48
Parungkuda,2006.0,1008.99,48.0,8.19,-0.28,164.95,7.65,1.63,-0.86
Parungkuda,2007.0,914.36,38.77,13.26,-0.91,293.49,9.84,3.25,0.06
Parungkuda,2008.0,1507.36,53.62,27.63,2.28,195.69,8.14,4.64,-0.8
Parungkuda,2009.0,1013.61,45.67,13.56,0.39,250.77,9.4,4.13,0.14
Parungkuda,2010.0,991.18,44.15,9.96,0.01,775.54,29.14,12.55,1.26
Parungkuda,2011.0,717.25,31.63,4.07,-1.03,215.31,9.38,3.71,-0.31
Parungkuda,2012.0,824.05,32.96,5.65,-0.2,184.14,6.5,1.32,-0.27
Parungkuda,2013.0,1102.52,45.77,17.73,0.99,613.57,23.31,10.07,1.24
Parungkuda,2014.0,1457.5,55.9,30.65,1.62,548.11,20.77,11.07,0.78
Parungkuda,2015.0,1089.28,47.05,20.75,0.17,153.48,4.9,2.84,-1.41
Parungkuda,2016.0,895.7,39.43,10.82,-0.97,825.14,30.82,15.39,1.87
Parungkuda,2017.0,721.85,31.81,5.37,0.65,417.21,16.94,8.54,0.8
Parungkuda,2018.0,799.67,33.12,8.94,0.11,149.81,5.81,2.23,-0.82
Parungkuda,2019.0,807.03,34.57,4.94,-0.32,89.56,3.93,0.48,-1.4
Parungkuda,2020.0,1053.08,41.66,16.69,-0.38,353.46,12.17,5.46,0.31
Parungkuda,2021.0,937.26,37.8,13.38,-0.18,481.27,16.75,8.21,0.52
Parungkuda,2022.0,733.69,29.96,4.43,0.14,635.99,25.03,9.21,0.97
Parungkuda,2023.0,847.25,33.34,8.42,0.23,314.09,12.92,4.81,-0.07
Parungkuda,2024.0,762.71,32.78,5.28,-0.7,373.44,14.08,5.87,0.1
Parungkuda,2025.0,927.65,38.17,13.02,0.82,795.25,33.63,15.28,1.37
Parungkuda,2026.0,424.07,18.82,8.55,0.63,,,,
Purabaya,1996.0,616.68,29.27,4.75,,286.08,11.29,5.9,-0.74
Purabaya,1997.0,1158.74,44.33,24.09,0.03,131.01,4.55,1.72,-1.19
Purabaya,1998.0,780.49,32.32,8.27,-1.73,711.9,27.74,14.23,1.02
Purabaya,1999.0,1077.61,50.09,11.11,0.52,185.22,5.78,4.85,-0.92
Purabaya,2000.0,1115.99,46.53,19.01,0.25,275.85,9.28,4.07,0.01
Purabaya,2001.0,1035.04,44.85,18.06,0.54,352.46,14.55,6.38,0.38
Purabaya,2002.0,798.21,31.37,12.91,0.04,299.87,8.44,5.52,-0.48
Purabaya,2003.0,862.94,39.23,11.85,-1.17,166.07,4.99,2.65,-1.72
Purabaya,2004.0,910.29,40.87,10.24,-0.31,271.65,12.34,3.8,-0.39
Purabaya,2005.0,1210.65,51.39,21.89,0.2,547.36,18.6,9.3,0.26
Purabaya,2006.0,1092.92,58.03,12.29,-0.1,174.85,6.66,2.43,-0.73
Purabaya,2007.0,962.85,43.0,16.18,-1.16,293.97,11.17,5.03,0.05
Purabaya,2008.0,1581.37,54.47,30.89,2.01,179.74,7.28,3.87,-1.28
Purabaya,2009.0,1029.18,45.56,17.7,0.31,261.31,8.41,5.12,0.1
Purabaya,2010.0,1033.43,48.54,12.67,-0.02,877.62,31.96,18.37,1.37
Purabaya,2011.0,788.27,36.53,4.58,-0.8,205.32,7.39,3.08,-0.47
Purabaya,2012.0,909.64,35.48,7.16,-0.07,199.53,7.63,3.32,-0.36
Purabaya,2013.0,1184.95,49.97,18.99,0.99,725.12,22.89,13.91,1.44
Purabaya,2014.0,1418.03,50.07,33.21,0.94,670.66,20.22,10.81,0.88
Purabaya,2015.0,1132.67,52.4,22.63,0.29,156.48,5.19,2.0,-1.27
Purabaya,2016.0,977.76,43.09,13.18,-0.92,1040.03,33.46,22.36,2.01
Purabaya,2017.0,732.09,31.45,5.15,0.48,486.25,15.4,11.28,0.78
Purabaya,2018.0,812.98,36.71,8.88,0.14,182.65,7.96,2.9,-0.75
Purabaya,2019.0,825.85,39.3,6.23,-0.71,102.44,3.59,1.72,-1.52
Purabaya,2020.0,1141.44,47.45,21.21,-0.42,405.04,10.99,5.04,0.72
Purabaya,2021.0,1013.25,38.26,15.2,-0.03,548.78,18.37,9.95,0.51
Purabaya,2022.0,794.14,34.78,5.62,0.35,731.02,30.02,14.96,0.98
Purabaya,2023.0,903.87,34.67,8.63,0.17,291.68,7.76,4.96,-0.28
Purabaya,2024.0,788.85,36.82,6.34,-1.02,473.52,15.58,8.74,0.31
Purabaya,2025.0,1008.81,41.43,12.87,0.97,836.44,31.72,20.92,1.22
Purabaya,2026.0,440.4,16.86,10.39,0.64,,,,
Sagaranten,1996.0,596.68,28.99,5.04,,289.54,9.68,6.3,-0.67
Sagaranten,1997.0,1146.16,46.14,22.55,0.04,135.51,4.4,1.69,-1.18
Sagaranten,1998.0,729.92,29.5,5.32,-2.07,721.65,27.62,14.24,0.99
Sagaranten,1999.0,1098.05,50.83,13.39,0.51,197.01,5.4,5.06,-0.83
Sagaranten,2000.0,1078.17,45.87,17.21,0.07,252.23,9.55,3.34,-0.14
Sagaranten,2001.0,964.18,42.44,14.24,0.1,342.63,15.76,5.93,0.33
Sagaranten,2002.0,780.24,32.35,13.05,-0.13,285.11,7.89,5.39,-0.59
Sagaranten,2003.0,854.26,39.81,12.14,-1.11,165.71,4.38,2.93,-1.69
Sagaranten,2004.0,915.96,42.19,10.57,-0.31,284.64,10.56,5.53,-0.38
Sagaranten,2005.0,1190.13,48.98,20.99,0.13,552.84,19.03,10.78,0.29
Sagaranten,2006.0,1043.02,52.74,13.13,-0.3,173.89,6.13,2.88,-0.7
Sagaranten,2007.0,979.66,46.86,15.44,-1.16,282.31,10.82,5.09,0.02
Sagaranten,2008.0,1594.07,56.8,29.24,1.78,170.35,6.07,3.79,-1.3
Sagaranten,2009.0,1030.68,48.1,18.55,0.3,263.28,7.9,5.69,0.15
Sagaranten,2010.0,1000.0,45.79,14.03,-0.15,886.67,32.6,17.7,1.47
Sagaranten,2011.0,808.72,37.71,6.82,-0.66,197.4,5.78,4.32,-0.5
Sagaranten,2012.0,910.5,35.68,7.94,-0.08,197.84,7.95,3.24,-0.37
Sagaranten,2013.0,1208.86,51.81,19.88,1.0,737.08,25.79,13.91,1.5
Sagaranten,2014.0,1476.4,48.54,30.68,1.09,695.6,17.78,10.44,0.83
Sagaranten,2015.0,1147.95,51.78,25.64,0.5,157.35,5.75,2.22,-1.2
Sagaranten,2016.0,1008.16,43.91,14.85,-0.7,1096.32,36.92,23.34,2.08
Sagaranten,2017.0,734.07,32.14,4.95,0.56,494.01,17.39,10.26,0.77
Sagaranten,2018.0,825.03,36.69,9.46,0.24,177.16,7.6,2.5,-0.74
Sagaranten,2019.0,809.96,36.53,7.41,-0.69,103.63,3.44,1.8,-1.54
Sagaranten,2020.0,1177.48,49.46,23.41,-0.29,424.38,11.53,5.12,0.81
Sagaranten,2021.0,1082.77,42.22,19.11,0.39,528.23,18.75,9.93,0.52
Sagaranten,2022.0,820.92,36.36,5.97,0.51,734.56,30.79,14.74,1.0
Sagaranten,2023.0,942.02,37.34,9.61,0.27,279.62,7.54,4.7,-0.33
Sagaranten,2024.0,782.1,36.33,5.91,-1.07,466.0,14.72,9.03,0.26
Sagaranten,2025.0,1042.88,41.4,14.76,1.03,775.67,30.53,17.5,1.07
Sagaranten,2026.0,450.04,18.35,10.52,0.62,,,,
Simpenan,1996.0,614.78,31.67,6.55,,355.94,12.75,6.81,-0.6
Simpenan,1997.0,1291.28,41.14,24.45,0.41,132.34,5.19,3.15,-1.25
Simpenan,1998.0,769.25,30.97,9.55,-1.95,679.09,28.39,14.88,0.84
Simpenan,1999.0,1008.31,40.12,13.23,0.21,187.34,4.67,2.73,-0.9
Simpenan,2000.0,1096.66,42.19,17.77,-0.03,290.42,12.98,3.62,0.02
Simpenan,2001.0,1036.53,45.27,16.8,0.36,351.68,13.45,7.06,0.25
Simpenan,2002.0,746.87,28.32,12.06,-0.18,339.52,12.22,7.15,-0.32
Simpenan,2003.0,837.69,40.15,8.34,-1.18,167.42,6.27,2.28,-1.76
Simpenan,2004.0,903.54,42.0,8.68,-0.36,300.45,13.47,3.37,-0.37
Simpenan,2005.0,1255.79,53.31,24.33,0.4,603.54,24.11,10.66,0.51
Simpenan,2006.0,1062.42,53.77,12.87,-0.16,184.29,7.67,3.12,-0.79
Simpenan,2007.0,991.57,43.99,17.27,-0.92,296.02,12.32,4.04,0.02
Simpenan,2008.0,1655.44,56.37,33.09,2.06,177.69,7.49,3.47,-1.22
Simpenan,2009.0,1056.79,44.04,21.27,0.35,263.07,10.8,4.43,-0.0
Simpenan,2010.0,1021.34,46.58,12.1,0.04,908.47,37.46,17.89,1.49
Simpenan,2011.0,805.75,35.47,6.02,-0.63,207.9,8.66,4.55,-0.5
Simpenan,2012.0,938.95,39.99,8.93,-0.04,183.11,7.19,2.32,-0.42
Simpenan,2013.0,1185.45,49.25,20.87,0.95,735.08,24.88,14.52,1.29
Simpenan,2014.0,1434.53,49.66,28.08,1.16,655.88,19.2,11.98,0.74
Simpenan,2015.0,1038.27,48.64,17.75,0.01,153.88,3.97,1.78,-1.33
Simpenan,2016.0,951.28,43.31,12.68,-1.0,1075.33,35.7,21.82,2.14
Simpenan,2017.0,744.89,27.91,5.89,0.73,503.13,17.62,10.82,0.94
Simpenan,2018.0,807.86,38.46,7.05,0.09,167.47,6.23,3.21,-0.77
Simpenan,2019.0,840.12,40.35,7.42,-0.55,104.0,4.4,2.12,-1.51
Simpenan,2020.0,1076.46,44.87,21.57,-0.58,424.15,13.86,7.26,0.6
Simpenan,2021.0,1022.34,38.08,15.72,0.24,552.09,20.05,9.05,0.52
Simpenan,2022.0,783.12,31.32,6.41,0.16,744.79,29.41,14.13,1.0
Simpenan,2023.0,886.93,37.31,8.96,-0.04,312.2,11.73,5.39,-0.27
Simpenan,2024.0,763.47,32.63,6.79,-0.91,490.55,18.47,8.2,0.44
Simpenan,2025.0,1057.25,42.08,15.21,1.15,831.35,31.62,20.5,1.14
Simpenan,2026.0,479.76,19.64,8.9,0.58,,,,
Sukalarang,1996.0,698.79,33.54,9.48,,323.11,11.7,5.52,-0.76
Sukalarang,1997.0,1257.81,42.43,27.72,0.01,126.11,4.59,1.84,-1.08
Sukalarang,1998.0,848.85,31.52,11.46,-1.13,653.76,25.81,13.14,1.16
Sukalarang,1999.0,1053.66,46.28,15.91,0.1,166.07,5.68,3.51,-1.17
Sukalarang,2000.0,1111.01,46.18,19.14,-0.01,344.65,11.16,7.67,0.31
Sukalarang,2001.0,1161.39,49.8,22.43,0.75,362.7,14.24,6.16,0.29
Sukalarang,2002.0,935.82,37.32,14.64,0.23,296.03,10.61,4.95,-0.45
Sukalarang,2003.0,864.48,37.52,8.33,-1.63,172.97,5.72,2.51,-1.86
Sukalarang,2004.0,945.04,43.16,10.44,-0.49,282.74,10.79,4.81,-0.09
Sukalarang,2005.0,1201.75,53.6,21.9,-0.13,565.62,17.93,9.93,0.33
Sukalarang,2006.0,1213.33,57.65,14.06,0.1,174.08,6.76,1.93,-0.77
Sukalarang,2007.0,972.62,42.28,16.9,-1.33,292.92,10.44,4.43,0.05
Sukalarang,2008.0,1594.33,58.36,29.26,1.87,205.6,6.97,4.06,-0.95
Sukalarang,2009.0,1130.86,50.51,21.37,0.3,256.1,10.0,4.92,0.06
Sukalarang,2010.0,1092.83,50.31,11.43,-0.21,867.97,26.29,17.47,1.33
Sukalarang,2011.0,828.0,39.19,6.25,-0.96,222.48,7.95,3.24,-0.3
Sukalarang,2012.0,921.26,37.77,6.42,-0.3,219.22,7.13,2.52,-0.24
Sukalarang,2013.0,1255.64,55.48,24.01,0.94,687.74,23.42,13.72,1.48
Sukalarang,2014.0,1634.92,60.03,35.81,1.43,621.91,17.82,11.73,0.88
Sukalarang,2015.0,1259.76,50.61,22.19,0.16,149.01,4.33,1.87,-1.45
Sukalarang,2016.0,1031.28,47.8,12.83,-0.99,933.29,34.81,20.73,1.91
Sukalarang,2017.0,849.98,33.83,11.04,0.51,372.84,15.77,5.69,0.46
Sukalarang,2018.0,945.5,40.97,11.56,0.38,157.38,6.29,2.05,-0.8
Sukalarang,2019.0,929.86,42.25,7.03,-0.4,102.0,3.23,0.44,-1.36
Sukalarang,2020.0,1217.78,49.4,21.95,-0.42,358.62,9.37,6.25,0.44
Sukalarang,2021.0,1107.73,43.35,17.43,-0.01,525.37,19.06,10.05,0.49
Sukalarang,2022.0,854.49,38.04,6.37,0.42,652.95,24.0,11.46,0.94
Sukalarang,2023.0,1008.76,39.5,13.52,0.59,272.67,9.05,5.61,-0.34
Sukalarang,2024.0,877.94,41.68,6.61,-0.86,412.63,15.32,8.45,-0.03
Sukalarang,2025.0,1096.97,45.68,13.38,0.84,855.63,31.79,20.67,1.49
Sukalarang,2026.0,426.74,19.14,9.06,0.7,,,,
Sukaraja,1996.0,695.54,33.6,9.48,,335.66,12.78,6.01,-0.73
Sukaraja,1997.0,1273.77,42.09,27.85,0.03,126.98,4.86,1.72,-1.09
Sukaraja,1998.0,866.1,33.57,12.1,-1.05,666.35,26.25,12.98,1.19
Sukaraja,1999.0,1055.81,46.36,16.46,0.05,163.38,5.59,3.05,-1.2
Sukaraja,2000.0,1121.42,46.35,19.8,-0.01,341.96,11.06,7.61,0.28
Sukaraja,2001.0,1172.63,51.03,23.27,0.77,363.64,13.86,6.38,0.28
Sukaraja,2002.0,936.06,36.85,14.97,0.21,302.34,11.11,5.41,-0.42
Sukaraja,2003.0,876.36,37.86,8.85,-1.63,177.07,5.93,2.5,-1.86
Sukaraja,2004.0,950.88,42.93,11.19,-0.49,285.67,10.8,4.81,-0.12
Sukaraja,2005.0,1219.75,53.85,22.6,-0.1,570.63,17.5,10.03,0.32
Sukaraja,2006.0,1219.35,57.39,13.66,0.08,176.56,6.91,2.31,-0.77
Sukaraja,2007.0,990.1,42.63,17.5,-1.28,300.68,10.43,4.75,0.06
Sukaraja,2008.0,1611.44,58.67,29.88,1.9,207.81,6.86,3.96,-0.94
Sukaraja,2009.0,1142.5,50.25,21.39,0.32,260.0,9.91,5.03,0.06
Sukaraja,2010.0,1106.71,51.27,12.13,-0.18,878.18,26.86,18.03,1.28
Sukaraja,2011.0,830.79,38.11,6.15,-0.98,227.28,8.06,3.56,-0.31
Sukaraja,2012.0,929.33,37.79,6.95,-0.28,220.48,7.2,2.68,-0.23
Sukaraja,2013.0,1255.37,55.32,24.28,0.94,694.06,23.27,13.67,1.47
Sukaraja,2014.0,1632.12,59.99,35.9,1.41,623.54,18.38,11.91,0.88
Sukaraja,2015.0,1256.62,50.0,22.04,0.15,151.09,4.86,2.02,-1.44
Sukaraja,2016.0,1032.89,47.28,13.54,-1.01,945.38,34.42,20.46,1.93
Sukaraja,2017.0,846.95,34.29,10.66,0.49,381.19,15.5,6.31,0.49
Sukaraja,2018.0,938.41,41.73,11.57,0.34,158.39,6.18,2.05,-0.79
Sukaraja,2019.0,931.13,42.48,7.32,-0.39,100.76,3.25,0.28,-1.38
Sukaraja,2020.0,1213.72,49.31,22.16,-0.47,366.27,9.85,6.39,0.46
Sukaraja,2021.0,1099.42,42.6,17.38,-0.05,533.33,19.13,10.85,0.49
Sukaraja,2022.0,852.28,38.28,6.51,0.4,668.43,24.87,11.7,0.96
Sukaraja,2023.0,1007.84,39.64,12.55,0.58,274.9,9.31,5.38,-0.34
Sukaraja,2024.0,878.88,41.92,6.77,-0.84,420.5,15.51,8.89,0.01
Sukaraja,2025.0,1098.37,45.47,13.57,0.84,860.5,32.22,20.4,1.44
Sukaraja,2026.0,430.26,19.01,8.89,0.71,,,,
Surade,1996.0,548.44,24.91,6.64,,307.98,10.87,4.54,-0.46
Surade,1997.0,1183.41,45.11,22.59,0.31,154.63,6.25,3.4,-1.1
Surade,1998.0,646.98,24.88,4.72,-2.3,709.49,27.49,14.83,0.96
Surade,1999.0,1137.07,49.74,18.16,0.78,217.19,5.73,4.0,-0.77
Surade,2000.0,1076.26,46.45,16.02,0.17,237.9,8.29,4.5,-0.3
Surade,2001.0,895.75,39.35,13.56,-0.06,361.48,13.37,8.94,0.19
Surade,2002.0,716.65,26.96,13.35,-0.2,296.73,6.28,5.21,-0.49
Surade,2003.0,798.35,35.41,11.49,-0.97,133.29,4.56,2.25,-1.75
Surade,2004.0,877.58,35.83,10.51,-0.39,330.24,14.69,5.08,-0.4
Surade,2005.0,1104.32,43.25,20.48,0.38,645.09,23.45,10.93,0.65
Surade,2006.0,945.67,43.96,12.69,-0.29,180.15,7.78,3.05,-0.73
Surade,2007.0,971.84,45.89,15.4,-1.01,285.14,11.97,5.65,-0.09
Surade,2008.0,1588.74,52.79,31.26,1.73,154.64,5.86,2.76,-1.39
Surade,2009.0,1012.18,43.11,21.13,0.41,284.6,8.4,6.13,0.16
Surade,2010.0,831.24,39.83,9.48,-0.38,951.35,38.95,21.09,1.66
Surade,2011.0,820.72,36.83,9.49,-0.25,219.55,8.05,3.18,-0.49
Surade,2012.0,897.34,34.96,9.14,-0.04,180.24,6.2,1.67,-0.51
Surade,2013.0,1134.41,45.67,19.99,0.92,735.0,27.69,14.81,1.36
Surade,2014.0,1371.82,48.08,24.69,1.05,717.44,18.9,10.16,0.66
Surade,2015.0,1024.56,41.89,19.84,0.25,158.64,6.04,0.76,-1.06
Surade,2016.0,921.41,40.46,11.55,-0.8,1271.69,38.16,25.16,2.37
Surade,2017.0,769.26,33.48,6.39,0.75,492.13,15.61,7.36,0.78
Surade,2018.0,785.07,36.27,7.53,0.06,189.82,6.02,3.05,-0.66
Surade,2019.0,713.73,31.77,6.11,-0.86,101.15,1.59,0.98,-1.56
Surade,2020.0,1024.58,41.35,18.19,-0.66,466.42,16.66,10.08,0.79
Surade,2021.0,1091.23,42.07,16.53,0.91,502.85,20.76,9.91,0.36
Surade,2022.0,756.81,32.94,5.24,0.17,678.74,24.82,14.95,0.82
Surade,2023.0,926.89,36.97,11.89,0.29,286.11,10.52,4.86,-0.48
Surade,2024.0,706.69,32.26,4.84,-1.32,540.44,19.26,8.85,0.49
Surade,2025.0,1077.47,38.05,16.72,1.23,735.67,28.81,14.33,0.92
Surade,2026.0,433.36,19.78,8.14,0.4,,,,
Tegalbuleud,1996.0,504.88,21.71,4.44,,320.1,11.99,6.16,-0.64
Tegalbuleud,1997.0,1129.26,45.22,20.61,0.38,197.84,6.96,3.77,-0.98
Tegalbuleud,1998.0,614.02,25.21,3.4,-2.28,809.96,30.29,15.88,0.99
Tegalbuleud,1999.0,1153.07,51.33,20.13,0.75,227.74,6.89,4.62,-0.81
Tegalbuleud,2000.0,1024.31,45.76,17.32,0.05,254.16,8.75,4.43,-0.4
Tegalbuleud,2001.0,836.71,36.1,12.69,-0.25,413.33,13.17,8.71,0.18
Tegalbuleud,2002.0,721.87,25.52,11.69,-0.16,329.9,8.4,6.54,-0.61
Tegalbuleud,2003.0,789.76,38.91,9.9,-0.96,146.79,4.89,3.01,-1.7
Tegalbuleud,2004.0,845.22,35.88,9.64,-0.49,382.84,12.9,7.91,-0.31
Tegalbuleud,2005.0,1051.58,41.21,20.22,0.12,719.3,21.2,12.66,0.63
Tegalbuleud,2006.0,939.31,39.85,13.39,-0.32,203.04,6.21,4.28,-0.63
Tegalbuleud,2007.0,931.41,41.56,13.14,-1.16,299.11,9.47,5.6,-0.19
Tegalbuleud,2008.0,1558.49,53.57,28.2,1.6,164.57,5.78,1.32,-1.43
Tegalbuleud,2009.0,972.49,40.46,18.3,0.28,367.9,11.02,6.97,0.3
Tegalbuleud,2010.0,825.06,38.36,10.49,-0.41,1076.84,36.78,25.65,1.65
Tegalbuleud,2011.0,797.48,32.47,7.78,-0.35,248.46,7.17,5.18,-0.51
Tegalbuleud,2012.0,874.3,33.33,8.34,-0.08,217.3,8.72,4.51,-0.51
